Slot (Thu),Person,Role / affiliation,Why now (grounded in the intel),Route,Guard,Engage first,Invite draft (Stuart voice; approve-before-publish promise),Q1,Q2,Q3,Q4,Q5,Status
2026-07-23,Haifeng Xu,"Professor, UChicago CS; Scientist, Google; co-author, 'When do prophets profit in prediction markets?'",He publicly credited Stuart's summary of his paper on 2026-07-17; the warmest thread in the category this week.,"LinkedIn, in the live thread (reply first, invite after the exchange)",none,Reply to his comment on Stuart's summary today before any invite.,"Hi Haifeng, thank you again for the generous words about my summary of your paper. I write a daily readout on prediction markets and I am building NEXTPredict around the serious operating layer of the category. I am running a short written Q&A series with the people doing the most interesting work in it. Five questions, written at your pace, and you approve every word before anything goes out. Would you be up for it? Either way, I would genuinely love to hear how you are seeing this space.","Your paper separates being right about the world from being paid for it. Where does that gap bite hardest in live markets today, execution costs or crowding?","If better forecasters are not automatically profitable traders, what should market designers change so information still finds its way into price?",You sit between AI research and market design. What do AI agents trading these markets get wrong right now?,Which market microstructure detail do academics most underrate when they model prediction markets?,"What result in your work surprised you most, and what would you study next if an exchange handed you its order flow?",invite-drafted / slot invite-gated
2026-07-30,Francesco Marconi,"CEO, AppliedXL; independent resolution-analysis partner for Kalshi's biopharma markets",The resolution layer was the story of the week: his partnership launched as FlightAware showed data owners hold a veto. Pairs with the scheduled 'Who watches the oracle voters?' slot the same day.,"LinkedIn (pierre-target contact; email is a verify-tagged guess, do not send unverified)",verify addr before email,Comment on the AppliedXL partnership announcement first.,"Hi Francesco, congratulations on the Kalshi partnership announcement this week. I write a daily readout on prediction markets and I am building NEXTPredict around the serious operating layer of the category. I am running a short written Q&A series with the people doing the most interesting work in it. Five questions, written at your pace, and you approve every word before anything goes out. Would you be up for it? Either way, I would genuinely love to hear how you are seeing this space.","AppliedXL is the independent resolution analysis partner for the new clinical trial markets. What does independence actually mean operationally, day to day?","The same week you launched, another market was pulled because the data owner declined to let its numbers settle the contracts. How should the category think about resolution data rights?","What makes a trial outcome resolvable enough to list, and what have you declined?",Employment verification for traders in these markets is a striking design choice. What conduct problem does it actually solve?,Where else in the category does computational journalism have a settlement role to play?,invite-drafted / slot invite-gated
2026-08-06,Ivo Crnkovic-Rubsamen,"Co-founder, Pascal; ex-CEO dYdX; ex-Bridgewater and D.E. Shaw","Fresh $9m Series A led by Union Square Ventures (Fortune, 2026-07-16); the sharpest voice in the perps-mechanics wave.",LinkedIn (pierre-target contact; email is a verify-tagged guess),verify addr before email,Engage with the raise coverage; he already does the podcast circuit (Blockspace/Gwart Show).,"Hi Ivo, congratulations on the round, the Fortune piece was a great read. I write a daily readout on prediction markets and I am building NEXTPredict around the serious operating layer of the category. I am running a short written Q&A series with the people doing the most interesting work in it. Five questions, written at your pace, and you approve every word before anything goes out. Would you be up for it? Either way, I would genuinely love to hear how you are seeing this space.",You ran dYdX and traded at Bridgewater and D.E. Shaw. What convinced you event contracts deserve perpetual-futures mechanics?,"What does institutional-grade actually mean in this category, beyond lower fees?",Phantom fills: why do they happen on prediction venues and how does Pascal's design remove them?,You said you would love to see liquid markets for the risks real businesses face. Which hedging use case arrives first?,What would make a serious trading firm route flow to a challenger venue rather than the incumbents?,invite-drafted / slot invite-gated
2026-08-13,Sarah Razaq Sallis,"Partner, Securities Enforcement & Regulatory, Husch Blackwell (Washington DC)",Publishing on prediction markets in the week the insider perimeter widened from a White House teleprompter to state employee handbooks.,"LinkedIn (pierre-target contact; bio page email is Cloudflare-obfuscated, pattern guess is verify-tagged)",verify addr before email,Comment on her enforcement post first.,"Hi Sarah, your post on prediction markets enforcement was one of the clearest things I read this week. I write a daily readout on prediction markets and I am building NEXTPredict around the serious operating layer of the category. I am running a short written Q&A series with the people doing the most interesting work in it. Five questions, written at your pace, and you approve every word before anything goes out. Would you be up for it? Either way, I would genuinely love to hear how you are seeing this space.",Who counts as an insider when the underlying is a speech rather than a security?,"Employers moved before regulators this week, New York and Wisconsin both. Is employment policy the right first line of defence?",What does an enforcement-ready conduct programme look like for an event-contract exchange?,"Where do the securities-law analogies help this category, and where do they mislead?",What should operators document today that they will wish they had documented in two years?,invite-drafted / slot invite-gated
2026-08-20,"Nicole Moran, Ph.D.","Vice President, Cornerstone Research",Shared the firm's new prediction-markets piece as the market-integrity conversation went mainstream.,LinkedIn (pierre-target contact),none beyond verify-addr for email,Comment on the Cornerstone piece first.,"Hi Nicole, the Cornerstone piece on prediction markets landed at exactly the right moment. I write a daily readout on prediction markets and I am building NEXTPredict around the serious operating layer of the category. I am running a short written Q&A series with the people doing the most interesting work in it. Five questions, written at your pace, and you approve every word before anything goes out. Would you be up for it? Either way, I would genuinely love to hear how you are seeing this space.",What question were clients actually asking that prompted the piece?,"How do you measure manipulation in thin event markets, and what counts as normal price discovery?",Take the teleprompter case: what would an economic analysis of that trading actually look at?,"Which market-integrity lessons from equities transfer cleanly to event contracts, and which do not?",What data would you want exchanges to publish to make serious integrity analysis possible?,invite-drafted / slot invite-gated
2026-08-27,Harry Crane,"Professor of Statistics, Rutgers; prediction-markets academic","Tier A in the 2026-07-16 triage (highest-frequency named author in that drop, incl. 'War (Markets): What Are They Good For?').",LinkedIn / X,none,Engage with his current threads first.,"Hi Harry, your recent writing on markets for geopolitical events has stuck with me. I write a daily readout on prediction markets and I am building NEXTPredict around the serious operating layer of the category. I am running a short written Q&A series with the people doing the most interesting work in it. Five questions, written at your pace, and you approve every word before anything goes out. Would you be up for it? Either way, I would genuinely love to hear how you are seeing this space.",You have argued prediction markets are decision tools rather than entertainment. Where is the strongest live example right now?,What did your work on war markets teach you about listing markets on catastrophic events?,What do the category's critics get right?,How should platforms handle markets where the resolution itself becomes contested?,"If you wrote the category's disclosure standards, what would be mandatory?",invite-drafted / slot invite-gated
2026-09-03,Jacob Ward,"Investigative journalist; CNN contributor; founder, The Rip Current",Published 'Here's Where Prediction Markets Go Wrong' (2026-07-17); the serious critic the room should hear from.,LinkedIn (connector lane),none,"Comment on the video with a genuine counterpoint first; no applause, no pitch.","Hi Jacob, your piece on where prediction markets go wrong was the most serious critique I have read in a while. I write a daily readout on prediction markets and I am building NEXTPredict around the serious operating layer of the category. I am running a short written Q&A series with the people doing the most interesting work in it. Five questions, written at your pace, and you approve every word before anything goes out. Would you be up for it? Either way, I would genuinely love to hear how you are seeing this space.","Of everything in your piece, which failure mode worries you most?",What would the industry need to show you to change your mind?,Where does the journalism on this category fall short?,You have covered what technology does to human judgement. What do these markets do to how people reason about the future?,Is there a version of this category you would call healthy?,invite-drafted / slot invite-gated
2026-09-10,Paul Wicks,ProofStack; professor; TED Fellow; patient-data and clinical-evidence voice,Posted a sceptical take on the clinical-trial markets launch; the counter-voice the biopharma story needs.,LinkedIn,none,Engage with his sceptical post in good faith first.,"Hi Paul, your sceptical read on the clinical trial markets was worth more than most of the cheerleading. I write a daily readout on prediction markets and I am building NEXTPredict around the serious operating layer of the category. I am running a short written Q&A series with the people doing the most interesting work in it. Five questions, written at your pace, and you approve every word before anything goes out. Would you be up for it? Either way, I would genuinely love to hear how you are seeing this space.",Markets on clinical trial outcomes launched this week and your first reaction was scepticism. Why?,What would responsible drug-development markets need that the current design lacks?,"Could public probabilities on trials actually help patients and clinicians, or only traders?","Where does trial information leak today, and does a market make that better or worse?",What evidence would change your view?,invite-drafted / slot invite-gated
2026-09-17,Roxanne Bras Petraeus,Fintech founder; compliance and employee-risk voice,Making the most practical employer-policy point in the teleprompter debate (already first in the workbook's commenting plan).,LinkedIn (engage via the commenting plan first),none,The commenting plan already schedules a reply to her; invite only after that lands.,"Hi Roxanne, you have been making the most practical point in the whole insider debate this week. I write a daily readout on prediction markets and I am building NEXTPredict around the serious operating layer of the category. I am running a short written Q&A series with the people doing the most interesting work in it. Five questions, written at your pace, and you approve every word before anything goes out. Would you be up for it? Either way, I would genuinely love to hear how you are seeing this space.",You argued employers need a prediction-markets policy. What should it actually say?,How do you train thousands of ordinary employees on a risk most of them have never heard of?,Where is the line between an employee's market view and their employer's information?,What did the teleprompter case reveal that compliance people already knew?,Which industries need this policy first?,invite-drafted / slot invite-gated
2026-09-24,Dustin Gouker,The Closing Line; category and regulatory press,Already contact status in the registry; the licensing question he keeps returning to is still open.,Existing relationship (contact status),"warm route, no cold touch needed",Continue the existing thread.,"Hi Dustin, The Closing Line has been essential reading on the licensing question. I write a daily readout on prediction markets and I am building NEXTPredict around the serious operating layer of the category. I am running a short written Q&A series with the people doing the most interesting work in it. Five questions, written at your pace, and you approve every word before anything goes out. Would you be up for it? Either way, I would genuinely love to hear how you are seeing this space.",You read every filing in this category. What is the most underreported story right now?,The licensing question you keep returning to: where do you think it actually lands?,What do operators most misunderstand about the state-by-state reality?,Which company has surprised you most this year?,What happens to the category if the big court cases go badly?,invite-drafted / slot invite-gated
2026-10-01,Simon Johansen,"Head of Prediction Markets / COO Digital Assets & PM, Jump Trading","Bloomberg (2026-07-16): desk doubled to about 20, still hiring, 'the most AI-resistant industry'. The institutional-liquidity voice.","VIA THE EXISTING JUMP THREAD ONLY (Stuart emailed Tonya, 2026-06-29)",DO-NOT-DOUBLE-SEND: route through the existing Jump Trading thread; no cold touch,Follow up on the existing Jump thread with the Bloomberg story as the hook; ask Tonya for the right route to Simon.,"Hi Simon, the Bloomberg piece on your desk was the most interesting institutional story of the month. I write a daily readout on prediction markets and I am building NEXTPredict around the serious operating layer of the category. I am running a short written Q&A series with the people doing the most interesting work in it. Five questions, written at your pace, and you approve every word before anything goes out. Would you be up for it? Either way, I would genuinely love to hear how you are seeing this space.",What does a prediction markets trading team at a firm like Jump actually do all day?,You called this the most AI-resistant industry that exists. Why?,What market structure changes would let firms like yours quote tighter?,"Where does liquidity come from for the long tail of events, beyond sport and elections?",What would another tenfold volume jump at the next Super Bowl require operationally?,invite-drafted / slot invite-gated
2026-10-08,FLEX SLOT (backlog),"Backlog: Rebecca Kossnick (PIERRE-OWNED, coordinate with Pierre first), Muyao Shen (Bloomberg crypto), Samuel Hume (physician-researcher), Justina Lee (Bloomberg)",Holds the twelfth franchise week for whichever backlog conversation lands first; journalists may prefer an off-record chat over a Q&A.,per person; Kossnick strictly via Pierre,Kossnick is Pierre-owned; Michael Selig (CFTC) and Gabriel Perez are excluded by rule (regulator / news subject),-,-,-,-,-,-,-,backlog
